"protein","organism","source","abbrv","chains","Ala","Cys","Asp","Glu","Phe","Gly","His","Ile","Lys","Leu","Met","Asn","Pro","Gln","Arg","Ser","Thr","Val","Trp","Tyr"
"1B42","HUMAN",NA,"P30480",1,38,6,22,25,6,27,9,10,9,28,5,6,18,20,29,26,26,26,10,16
"1B44","HUMAN",NA,"P30481",1,35,6,22,25,6,27,8,12,10,28,5,5,18,19,30,24,30,26,10,16
"1B45","HUMAN",NA,"P30483",1,35,5,20,25,6,27,9,11,10,30,5,6,18,19,30,27,31,23,10,15
"1B46","HUMAN",NA,"P30484",1,38,5,21,24,6,28,9,10,10,28,6,4,18,21,31,26,27,24,11,15
"1B47","HUMAN",NA,"P30485",1,35,6,21,26,7,27,9,10,10,30,4,4,18,19,30,23,31,26,11,15
"1B48","HUMAN",NA,"P30486",1,35,6,20,27,6,27,9,10,10,30,5,6,18,19,29,28,26,26,9,16
"1B49","HUMAN",NA,"P30487",1,36,5,19,26,6,26,9,12,10,31,5,6,18,19,30,25,31,22,11,15
"1B50","HUMAN",NA,"P30488",1,35,5,19,26,6,27,9,11,10,31,5,6,18,19,30,26,31,22,11,15
"1B51","HUMAN",NA,"P18464",1,37,5,19,25,7,27,10,11,9,27,5,7,18,20,29,23,31,25,12,15
"1B52","HUMAN",NA,"P30490",1,37,5,19,26,6,27,10,11,9,27,5,6,18,20,29,24,31,25,12,15
"1B53","HUMAN",NA,"P30491",1,37,5,20,24,7,27,9,13,9,28,5,6,18,20,30,24,29,25,11,15
"1B54","HUMAN",NA,"P30492",1,38,5,20,24,6,29,9,10,9,30,5,6,18,21,29,24,29,23,12,15
"1B55","HUMAN",NA,"P30493",1,38,5,20,26,6,28,9,11,9,30,5,6,18,21,29,24,29,21,12,15
"1B56","HUMAN",NA,"P30495",1,38,5,20,25,6,28,9,11,9,31,5,6,18,21,29,24,28,22,12,15
"1B57","HUMAN",NA,"P18465",1,41,6,20,24,6,28,9,12,9,27,7,5,18,19,29,24,25,27,11,15
"1B58","HUMAN",NA,"P10319",1,39,5,20,25,6,28,9,12,9,28,6,5,18,19,30,25,27,25,11,15
"1B59","HUMAN",NA,"Q29940",1,37,5,19,25,7,27,9,12,9,30,5,7,18,20,29,23,31,22,12,15
"1B67","HUMAN",NA,"Q29836",1,37,5,20,25,7,27,9,10,9,29,5,6,18,21,29,27,27,26,10,15
"1B73","HUMAN",NA,"Q31612",1,37,7,21,24,7,28,10,10,10,27,6,6,17,22,28,24,28,27,11,13
"1B78","HUMAN",NA,"P30498",1,36,5,20,25,7,28,10,10,9,27,5,7,18,20,29,24,31,25,12,14
"1B81","HUMAN",NA,"Q31610",1,36,6,21,26,6,28,9,10,10,29,5,6,18,20,29,26,24,27,10,16
"1B82","HUMAN",NA,"Q29718",1,37,5,22,25,7,27,9,11,9,31,5,6,18,21,30,26,27,22,10,14
"1C01","HUMAN",NA,"P30499",1,36,8,19,30,7,29,9,9,10,30,6,6,18,20,29,27,24,23,12,14
"1C02","HUMAN",NA,"P30501",1,36,7,19,31,6,29,10,9,11,30,5,6,17,20,31,25,24,24,11,15
"1C03","HUMAN",NA,"P04222",1,39,7,19,27,6,30,10,11,11,30,5,5,18,21,29,23,23,25,11,16
"1C04","HUMAN",NA,"P30504",1,37,7,19,28,8,30,9,9,12,30,6,6,18,21,30,24,24,23,12,13
"1C05","HUMAN",NA,"Q9TNN7",1,39,8,18,26,7,30,9,9,13,30,6,6,18,22,31,22,24,23,10,15
"1C06","HUMAN",NA,"Q29963",1,38,8,21,28,6,29,9,9,11,30,6,5,18,21,30,24,24,23,12,14
"1C07","HUMAN",NA,"P10321",1,37,9,21,26,6,30,8,8,10,34,8,5,18,23,30,26,25,20,9,13
"1C08","HUMAN",NA,"P30505",1,39,8,18,25,7,30,9,9,11,31,6,6,18,22,30,23,26,23,10,15
"1C12","HUMAN",NA,"P30508",1,40,8,19,28,6,29,9,9,10,30,6,5,18,21,31,24,24,23,11,15
"1C14","HUMAN",NA,"P30510",1,38,8,19,28,7,29,9,9,10,30,5,5,18,21,30,26,25,24,12,13
"1C15","HUMAN",NA,"Q07000",1,39,8,19,28,6,29,11,10,10,32,6,6,18,21,30,22,24,23,10,14
"1C16","HUMAN",NA,"Q29960",1,40,9,18,27,6,29,10,9,10,31,5,5,17,22,30,24,25,24,10,15
"1C17","HUMAN",NA,"Q95604",1,43,7,18,27,7,31,9,10,12,33,4,7,18,24,30,24,20,24,9,15
"1C18","HUMAN",NA,"Q29865",1,37,8,20,27,8,30,9,8,12,31,5,6,18,21,31,23,23,25,11,13
"2A5A","HUMAN",NA,"Q15172",1,30,6,20,47,31,14,10,33,42,56,10,18,21,27,21,41,18,23,5,13
"2A5B","HUMAN",NA,"Q15173",1,24,8,17,46,29,20,13,21,28,65,8,14,34,31,30,34,19,36,5,15
"2A5D","HUMAN",NA,"Q14738",1,34,6,21,60,32,16,14,30,52,67,15,21,49,33,32,40,24,30,5,21
"2A5E","HUMAN",NA,"Q16537",1,17,7,20,45,30,12,8,30,37,56,11,14,27,23,26,37,19,28,5,15
"2A5G","HUMAN",NA,"Q13362",1,35,7,26,46,29,11,17,28,44,61,16,22,34,23,23,26,20,32,6,18
"2AAA","HUMAN",NA,"P30153",1,57,14,36,47,18,20,11,31,32,81,14,21,26,21,27,39,27,52,5,10
"2AAB","HUMAN",NA,"P30154",1,61,11,36,46,18,28,7,34,30,84,15,24,25,28,27,35,28,49,5,10
"2ABA","HUMAN",NA,"P63151",1,22,9,32,35,22,17,12,31,30,29,10,31,15,11,28,40,25,25,7,16
"2ABB","HUMAN",NA,"Q00005",1,21,7,31,36,23,13,14,30,27,29,10,31,15,9,32,37,28,27,6,17
"2ABD","HUMAN",NA,"Q66LE6",1,26,10,35,33,24,21,15,30,27,30,10,25,16,10,32,44,20,24,7,14
"2ABG","HUMAN",NA,"Q9Y2T4",1,23,8,36,32,20,15,18,28,30,35,11,25,16,8,27,42,26,26,6,15
"2B11","HUMAN",NA,"P04229",1,11,7,7,19,14,24,6,4,8,29,5,8,12,14,19,21,18,26,5,9
"2B13","HUMAN",NA,"P01912",1,8,6,8,18,15,24,9,3,7,27,5,10,12,12,21,22,17,28,4,10
"2B14","HUMAN",NA,"P13760",1,12,6,8,19,16,24,8,3,8,27,5,8,12,14,18,18,18,26,4,12
"2B17","HUMAN",NA,"P13761",1,11,6,7,18,16,26,7,4,8,27,6,8,12,16,17,20,16,28,5,8
"2B18","HUMAN",NA,"Q30134",1,9,6,8,18,16,25,7,3,6,27,5,8,12,11,19,23,19,27,4,13
"2B19","HUMAN",NA,"Q9TQE0",1,12,6,7,19,15,25,8,4,8,26,6,9,12,14,19,20,16,28,4,8
"2B1A","HUMAN",NA,"Q30167",1,11,6,7,20,13,24,7,3,7,28,6,9,13,13,21,19,17,28,4,10
"2B1B","HUMAN",NA,"P20039",1,9,6,9,19,17,24,8,3,6,26,5,8,12,11,21,22,18,27,4,11
"2B1C","HUMAN",NA,"Q95IE3",1,11,6,7,19,15,24,9,4,6,29,5,8,12,11,21,22,18,27,4,8
"2B1D","HUMAN",NA,"Q5Y7A7",1,10,6,9,19,16,23,9,4,6,26,5,9,12,11,20,22,18,28,4,9
"2B1E","HUMAN",NA,"Q9GIY3",1,10,6,7,19,16,23,9,3,6,27,5,8,12,11,22,22,18,28,4,10
"2B1F","HUMAN",NA,"P01911",1,11,6,8,17,16,23,6,4,8,27,6,8,13,15,18,22,18,26,5,9
"2B1G","HUMAN",NA,"Q29974",1,11,6,9,17,16,24,6,3,8,27,6,8,13,14,19,21,18,25,5,10
"3BHS1","HUMAN",NA,"P14060",1,23,5,12,25,16,23,8,23,26,42,4,19,18,12,17,29,20,26,8,17
"3BHS2","HUMAN",NA,"P26439",1,23,5,13,26,14,22,7,19,24,44,3,19,19,12,17,29,21,29,8,18
"3BHS7","HUMAN",NA,"Q9H2F3",1,35,6,10,21,14,35,13,8,7,44,7,10,20,16,27,12,23,37,8,16
"3BP1","HUMAN",NA,"Q9Y3L3",1,80,6,26,55,13,34,14,15,30,81,21,16,79,33,46,69,38,33,3,9
"3BP2","HUMAN",NA,"P78314",1,39,8,30,38,23,30,19,12,33,42,14,12,81,11,36,55,27,29,6,16
"3BP5L","HUMAN",NA,"Q7L8J4",1,36,4,15,52,3,35,11,9,14,38,6,8,20,28,41,30,15,21,1,6
"3BP5","HUMAN",NA,"O60239",1,40,5,27,59,10,27,3,13,33,35,14,12,21,25,32,51,17,23,2,6
"3HAO","HUMAN",NA,"P46952",1,12,3,15,23,11,24,6,8,11,33,8,5,17,18,21,18,14,24,6,9
"3HIDH","HUMAN",NA,"P31937",1,40,7,15,14,12,36,2,17,20,31,17,14,14,8,12,31,13,22,2,9
"3MG","HUMAN",NA,"P29372",1,31,7,11,18,9,25,5,6,12,27,8,4,26,18,30,20,12,18,3,8
"41","HUMAN",NA,"P11171",1,58,10,52,97,22,41,22,44,82,69,9,22,47,44,38,68,66,48,8,17
"4EBP1","HUMAN",NA,"Q13541",1,4,2,7,7,3,12,1,5,3,6,4,2,15,4,9,15,12,5,0,2
"4EBP2","HUMAN",NA,"Q13542",1,8,2,9,3,3,9,5,7,3,8,3,8,11,5,7,11,11,5,0,2
"4EBP3","HUMAN",NA,"O60516",1,4,5,6,9,2,7,0,7,4,8,2,1,14,4,4,6,13,1,0,3
"4ET","HUMAN",NA,"Q9NRA8",1,63,6,54,68,28,64,27,23,54,101,20,24,92,55,72,117,42,58,5,12
"4F2","HUMAN",NA,"P08195",1,63,4,37,41,21,53,10,18,29,94,11,19,32,32,24,62,26,32,13,9
"5HT1A","HUMAN",NA,"P08908",1,41,14,16,15,17,30,6,29,21,48,8,19,24,9,23,27,27,29,7,12
"5HT1B","HUMAN",NA,"P28222",1,35,11,14,13,17,12,5,31,18,42,8,11,22,10,18,35,31,32,10,15
"5HT1D","HUMAN",NA,"P28221",1,37,11,10,12,17,14,10,41,12,47,4,14,16,9,19,38,28,17,9,12
"5HT1E","HUMAN",NA,"P28566",1,24,12,13,12,17,9,10,37,16,46,10,11,15,8,20,31,34,18,7,15
"5HT1F","HUMAN",NA,"P30939",1,23,11,15,17,16,11,10,37,23,41,8,11,10,7,20,35,24,27,7,13
"5HT2A","HUMAN",NA,"P28223",1,29,15,20,18,25,18,6,34,27,57,15,28,14,18,13,53,27,33,7,14
"5HT2B","HUMAN",NA,"P41595",1,29,8,14,21,26,19,6,43,28,57,17,22,22,18,19,39,37,34,8,14
"5HT2C","HUMAN",NA,"P28335",1,27,12,13,22,21,18,8,44,21,49,15,33,25,9,26,31,18,46,7,13
"5HT3A","HUMAN",NA,"P46098",1,23,8,24,22,20,16,7,32,15,65,10,16,30,22,31,35,25,42,14,21
"5HT3B","HUMAN",NA,"O95264",1,26,7,24,22,23,16,11,26,13,56,8,14,20,25,18,41,22,40,11,18
"5HT3C","HUMAN",NA,"Q8WXA8",1,23,9,21,17,26,27,6,25,16,65,16,19,29,16,16,32,33,27,11,13
"5HT3D","HUMAN",NA,"Q70Z44",1,37,12,10,16,19,29,19,24,12,50,14,17,31,21,23,40,33,27,12,8
"5HT3E","HUMAN",NA,"A5X5Y0",1,24,9,16,23,27,28,12,25,18,63,16,20,29,15,18,35,28,27,11,12
"5HT4R","HUMAN",NA,"Q13639",1,27,18,15,12,22,18,7,31,12,42,12,15,18,15,18,26,25,32,8,15
"5HT5A","HUMAN",NA,"P47898",1,28,10,9,14,22,14,7,18,12,46,7,13,17,9,19,34,22,34,12,10
"5HT6R","HUMAN",NA,"P50406",1,51,14,13,8,19,30,5,15,6,74,10,12,44,12,27,37,24,25,8,6
"5HT7R","HUMAN",NA,"P34969",1,37,16,19,17,23,26,9,32,23,54,14,18,30,11,27,34,24,40,10,15
"5NT1A","HUMAN",NA,"Q9BXI3",1,43,3,16,33,19,22,10,15,20,30,6,11,28,17,24,20,14,23,2,12
"5NT1B","HUMAN",NA,"Q96P26",1,43,13,31,38,21,33,12,27,34,55,14,20,43,35,48,67,30,18,7,21
"5NT3L","HUMAN",NA,"Q969T7",1,10,5,16,20,13,22,10,24,18,29,10,18,9,18,14,14,11,18,2,11
"5NT3","HUMAN",NA,"Q9H0P0",1,22,6,21,24,13,20,7,25,30,33,10,14,9,13,14,17,12,32,1,13
"5NTC","HUMAN",NA,"P49902",1,25,8,43,38,34,31,18,24,36,60,16,17,24,16,31,41,34,29,5,31
"5NTD","HUMAN",NA,"P21589",1,36,10,32,29,24,50,15,36,35,58,12,31,27,17,23,38,26,48,7,20
"68MP","HUMAN",NA,"P56378",1,6,0,1,1,1,4,2,8,7,3,4,1,4,2,2,3,1,2,2,4
"6PGD","HUMAN",NA,"P52209",1,43,9,32,24,24,50,10,32,35,44,14,16,14,21,20,26,22,26,8,13
"6PGL","HUMAN",NA,"O95336",1,36,5,10,17,10,16,6,10,8,37,2,3,24,10,14,16,12,17,2,3
"7B2","HUMAN",NA,"P05408",1,12,2,15,15,8,19,8,6,11,19,6,9,20,10,12,12,7,12,3,6
"8ODP","HUMAN",NA,"P36639",1,4,2,12,15,12,23,3,7,10,17,8,3,10,15,11,10,10,14,6,5
"A16A1","HUMAN",NA,"Q8IZ83",1,114,18,28,48,18,82,15,15,13,97,12,13,61,37,58,48,28,64,21,12
"A16L1","HUMAN",NA,"Q676U5",1,47,12,42,48,18,33,16,28,39,62,9,22,16,29,44,54,32,38,11,7
"A16L2","HUMAN",NA,"Q8NAA4",1,68,13,31,44,11,40,17,16,32,65,4,16,23,38,58,43,26,50,13,11
"A1AG1","HUMAN",NA,"P02763",1,11,4,11,20,9,7,3,10,14,21,2,10,8,12,8,8,17,11,4,11
"A1AG2","HUMAN",NA,"P19652",1,10,5,10,21,11,8,3,7,13,22,3,10,8,10,10,11,15,9,4,11
"A1ATR","HUMAN",NA,"P20848",1,25,4,25,26,20,18,16,24,35,46,8,17,16,16,17,29,29,31,7,11
"A1AT","HUMAN",NA,"P01009",1,26,3,24,32,27,24,13,20,34,51,10,19,19,18,7,25,30,27,3,6
"A1BG","HUMAN",NA,"P04217",1,40,10,19,40,19,39,15,9,11,61,4,11,43,15,34,37,31,38,9,10
"A1CF","HUMAN",NA,"Q9NQ94",1,60,5,26,38,19,56,8,30,37,46,16,24,37,23,32,24,37,41,4,31
"A20A1","HUMAN",NA,"Q5TYW2",1,59,16,43,90,15,29,26,40,93,77,14,44,19,51,43,56,40,47,3,18
"A20A2","HUMAN",NA,"Q5SQ80",1,59,16,44,90,15,29,26,40,93,77,14,44,19,51,45,56,38,47,2,18
"A20A3","HUMAN",NA,"Q5VUR7",1,59,16,43,90,15,29,26,40,92,77,14,44,19,51,45,56,39,47,2,19
"A20A4","HUMAN",NA,"Q4UJ75",1,59,16,42,90,16,28,26,40,94,76,14,45,19,53,42,56,38,48,3,18
"A20A5","HUMAN",NA,"A0PJZ0",1,17,5,9,11,3,11,9,9,11,20,2,6,2,6,11,9,7,10,0,7
"A26L1","HUMAN",NA,"Q96IX9",1,4,0,7,13,1,3,7,10,16,15,3,5,0,8,7,6,10,1,1,2
"A2AP","HUMAN",NA,"P08697",1,31,6,19,28,29,30,12,9,19,75,12,16,41,37,20,41,23,31,8,4
"A2GL","HUMAN",NA,"P02750",1,24,4,19,14,11,26,8,5,13,72,4,17,25,22,18,27,13,15,7,3
"A2LD1","HUMAN",NA,"Q9BVM4",1,14,2,7,12,6,12,7,2,1,17,2,4,15,5,16,6,5,11,2,7
"A2MG","HUMAN",NA,"P01023",1,93,25,54,104,62,91,40,57,89,143,26,63,78,73,46,123,101,139,11,56
"A2ML1","HUMAN",NA,"A8K2U0",1,91,25,65,82,66,97,23,65,78,145,30,60,85,82,42,122,101,115,18,62
"A4GAT","HUMAN",NA,"Q9NPC4",1,23,8,12,17,21,20,11,14,14,46,10,13,30,10,24,19,21,18,10,12
"A4GCT","HUMAN",NA,"Q9UNA3",1,15,8,11,24,21,17,11,17,11,39,10,17,21,9,21,33,13,17,10,15
"A4","HUMAN",NA,"P05067",1,63,18,50,92,21,38,25,24,41,56,24,31,35,36,37,35,50,65,9,20
"A7L3B","HUMAN",NA,"Q96GX2",1,6,5,6,11,6,8,1,5,4,10,1,3,7,6,3,5,2,5,0,3
"AA1R","HUMAN",NA,"P30542",1,32,9,9,11,19,12,5,31,15,41,9,12,22,8,12,18,10,32,7,12
"AA2AR","HUMAN",NA,"P29274",1,42,15,9,15,20,34,11,29,9,50,8,18,24,16,19,26,14,35,7,11
"AA2BR","HUMAN",NA,"P29275",1,36,14,9,7,19,19,5,19,10,45,8,16,13,11,12,17,20,35,5,12
"AA3R","HUMAN",NA,"P33765",1,18,10,6,8,21,11,6,29,14,48,14,15,9,3,10,25,20,30,5,16
"AAA1","HUMAN",NA,"Q9NS82",1,39,13,6,19,33,47,10,35,12,66,14,16,38,11,18,42,30,46,11,17
"AAAD","HUMAN",NA,"P22760",1,22,2,22,18,20,24,12,20,22,53,7,21,19,11,22,27,17,31,8,21
"AAAS","HUMAN",NA,"Q9NRG9",1,38,15,18,26,21,45,18,21,14,61,4,14,53,17,30,53,34,38,21,5
"AAAT","HUMAN",NA,"Q15758",1,69,8,17,27,22,53,5,30,13,82,11,18,27,10,23,35,24,53,5,9
"AACS","HUMAN",NA,"Q86V21",1,45,10,29,52,28,53,17,38,41,60,21,26,31,20,28,52,27,56,15,23
"AACT","HUMAN",NA,"P01011",1,34,3,25,29,25,16,9,20,26,59,14,19,16,17,16,30,29,24,3,9
"AADAT","HUMAN",NA,"Q8N5Z0",1,29,3,21,22,20,26,8,32,25,43,15,21,31,18,16,36,18,23,6,12
"AAGAB","HUMAN",NA,"Q6PD74",1,25,6,26,26,11,18,9,14,15,28,6,14,14,12,9,29,15,28,6,4
"AAK1","HUMAN",NA,"Q2M2I8",1,79,13,45,43,33,65,15,40,49,84,13,33,94,112,32,80,62,51,3,15
"AAKB1","HUMAN",NA,"Q9Y478",1,14,3,18,19,10,16,12,11,19,25,5,11,23,9,11,21,14,17,4,8
"AAKB2","HUMAN",NA,"O43741",1,12,2,18,17,11,17,11,13,20,23,6,10,21,9,9,30,13,19,4,7
"AAKG1","HUMAN",NA,"P54619",1,17,3,15,24,15,10,11,23,23,35,5,14,14,9,13,28,21,36,2,13
"AAKG2","HUMAN",NA,"Q9UGJ0",1,37,3,25,33,29,30,14,35,41,45,13,17,47,18,31,68,29,36,2,16
"AAKG3","HUMAN",NA,"Q9UGI9",1,39,9,23,37,18,31,14,24,16,61,8,7,32,21,31,39,28,33,8,10
"AAMP","HUMAN",NA,"Q13685",1,33,12,35,41,13,43,11,10,15,40,7,7,21,15,13,31,31,40,11,5
"AAPK1","HUMAN",NA,"Q13131",1,27,11,39,33,19,27,22,33,38,53,15,18,29,20,38,48,25,37,5,22
"AAPK2","HUMAN",NA,"P54646",1,33,10,35,31,21,32,22,29,35,54,20,16,30,17,32,48,23,39,4,21
"AARD","HUMAN",NA,"Q4LEZ3",1,21,2,9,15,6,8,2,4,4,17,3,3,8,12,18,8,6,5,3,1
"AASD1","HUMAN",NA,"Q9BTE6",1,26,6,24,33,13,36,12,18,24,43,8,17,14,20,26,27,25,33,5,2
"AASS","HUMAN",NA,"Q9UDR5",1,68,13,46,62,23,78,30,65,56,101,31,32,48,29,39,58,46,59,6,36
"AAT1","HUMAN",NA,"Q7Z4T9",1,45,2,19,77,21,14,18,27,45,53,18,21,22,38,51,39,29,37,6,21
"AATC2","HUMAN",NA,"Q8NHS2",1,16,10,15,24,17,31,10,29,29,52,12,21,18,26,8,29,19,33,7,15
"AATC","HUMAN",NA,"P17174",1,34,4,19,26,23,28,9,19,21,37,6,25,24,15,22,27,22,31,9,12
"AATF","HUMAN",NA,"Q9NY61",1,37,2,54,64,20,39,13,16,43,58,10,11,28,26,36,45,22,22,5,9
"AATM","HUMAN",NA,"P00505",1,44,7,21,21,21,37,11,24,29,34,12,16,21,18,23,24,21,27,7,12
"AB12B","HUMAN",NA,"Q7Z5M8",1,27,10,21,18,17,23,11,19,25,39,8,13,25,4,19,21,16,25,8,13
"AB1IP","HUMAN",NA,"Q7Z5R6",1,56,8,44,47,19,38,13,20,51,59,12,28,87,31,23,42,30,32,5,21
"AB48R","HUMAN",NA,"Q0VD83",1,142,8,42,201,9,155,17,8,24,69,15,8,57,53,81,71,53,51,19,5
"ABC3A","HUMAN",NA,"P31941",1,14,6,13,9,12,14,10,8,5,20,5,9,9,12,14,11,7,8,5,8
"ABC3B","HUMAN",NA,"Q9UH17",1,23,15,20,25,27,18,7,13,9,38,11,19,17,20,30,14,17,17,14,28
"ABC3C","HUMAN",NA,"Q9NRW3",1,8,8,8,14,14,7,3,5,10,14,4,13,9,8,13,11,11,11,8,11
"ABC3D","HUMAN",NA,"Q96AK3",1,18,17,17,25,29,14,12,12,19,32,10,24,19,10,32,19,18,22,16,21
"ABC3F","HUMAN",NA,"Q8IUX4",1,21,15,17,28,29,12,12,11,19,28,9,19,20,10,25,21,17,19,15,26
"ABC3G","HUMAN",NA,"Q9HC16",1,15,15,22,24,27,14,16,15,20,32,11,16,20,17,30,20,21,15,14,20
"ABC3H","HUMAN",NA,"Q6NTF7",1,11,11,8,13,10,9,5,9,15,21,5,9,11,9,15,9,8,8,4,10
"ABCA1","HUMAN",NA,"O95477",1,124,39,115,128,118,147,40,127,128,254,62,103,107,88,103,180,121,168,40,69
"ABCA2","HUMAN",NA,"Q9BZC7",1,192,41,106,139,112,170,53,101,98,295,60,86,141,103,130,197,128,171,35,77
"ABCA3","HUMAN",NA,"Q99758",1,144,28,68,101,104,111,42,81,76,226,48,44,78,67,94,117,84,111,25,55
"ABCA4","HUMAN",NA,"P78363",1,132,43,106,137,122,151,52,135,96,275,56,90,129,98,112,157,134,141,42,65
"ABCA5","HUMAN",NA,"Q8WWZ7",1,91,26,70,101,104,76,32,141,119,188,51,56,62,57,44,146,84,108,22,64
"ABCA6","HUMAN",NA,"Q8N139",1,76,27,63,101,103,86,34,128,103,216,52,71,60,67,59,121,93,88,20,49
"ABCA7","HUMAN",NA,"Q8IZY2",1,199,36,87,119,92,183,51,44,50,330,40,44,152,86,150,147,99,162,35,40
"ABCA8","HUMAN",NA,"O94911",1,94,30,69,100,104,86,32,97,101,204,45,60,63,59,64,125,78,100,20,50
